"Titulo","Ano","Genero"
"Love, Death & Robots",2019,"Thriller"
"Schitt's Creek",2015,"Comedy"
"Marvel's Agents of S.H.I.E.L.D.",2013,"Action"
"Marvel's Agents of S.H.I.E.L.D.",2013,"Adventure"
"Marvel's Agents of S.H.I.E.L.D.",2013,"Drama"
"Marvel's Agents of S.H.I.E.L.D.",2013,"Sci-Fi"
"Marvel's Agents of S.H.I.E.L.D.",2013,"Thriller"
"Never Have I Ever",2020,"Comedy"
"Never Have I Ever",2020,"Drama"
"The 100",2014,"Drama"
"The 100",2014,"Mystery"
"The 100",2014,"Sci-Fi"
"American Crime Story",2016,"Biography"
"American Crime Story",2016,"Crime"
"American Crime Story",2016,"Drama"
"The Last Kingdom",2015,"Action"
"The Last Kingdom",2015,"Drama"
"The Last Kingdom",2015,"History"
"The End of the F***ing World",2017,"Adventure"
"The End of the F***ing World",2017,"Comedy"
"The End of the F***ing World",2017,"Crime"
"The End of the F***ing World",2017,"Drama"
"The End of the F***ing World",2017,"Romance"
"The End of the F***ing World",2017,"Thriller"
"New Girl",2011,"Comedy"
"Penny Dreadful",2014,"Drama"
"Penny Dreadful",2014,"Fantasy"
"Penny Dreadful",2014,"Horror"
"One Piece",1999,"Animation"
"One Piece",1999,"Action"
"One Piece",1999,"Adventure"
"One Piece",1999,"Comedy"
"One Piece",1999,"Drama"
"One Piece",1999,"Fantasy"
"Marvel's The Punisher",2017,"Action"
"Marvel's The Punisher",2017,"Crime"
"Marvel's The Punisher",2017,"Drama"
"Marvel's The Punisher",2017,"Thriller"
"Evil",2019,"Crime"
"Evil",2019,"Drama"
"Evil",2019,"Horror"
"Evil",2019,"Mystery"
"Evil",2019,"Thriller"
"Sense8",2015,"Drama"
"Sense8",2015,"Mystery"
"Sense8",2015,"Sci-Fi"
"Sense8",2015,"Thriller"
"Making a Murderer",2015,"Documentary"
"Making a Murderer",2015,"Crime"
"Unbelievable",2019,"Crime"
"Unbelievable",2019,"Drama"
"Arrow",2012,"Action"
"Arrow",2012,"Adventure"
"Arrow",2012,"Crime"
"Arrow",2012,"Drama"
"Arrow",2012,"Mystery"
"Arrow",2012,"Sci-Fi"
"Sex Education",2019,"Comedy"
"Sex Education",2019,"Drama"
"Marvel's Jessica Jones",2015,"Action"
"Marvel's Jessica Jones",2015,"Crime"
"Marvel's Jessica Jones",2015,"Drama"
"Marvel's Jessica Jones",2015,"Sci-Fi"
"Marvel's Jessica Jones",2015,"Thriller"
"Sweet Tooth",2021,"Action"
"Sweet Tooth",2021,"Adventure"
"Sweet Tooth",2021,"Drama"
"Sweet Tooth",2021,"Fantasy"
"Sweet Tooth",2021,"Sci-Fi"
"Good Girls",2018,"Comedy"
"Good Girls",2018,"Crime"
"Good Girls",2018,"Drama"
"Death Note",2006,"Animation"
"Death Note",2006,"Crime"
"Death Note",2006,"Drama"
"Death Note",2006,"Fantasy"
"Death Note",2006,"Mystery"
"Death Note",2006,"Thriller"
"Gilmore Girls",2000,"Comedy"
"Gilmore Girls",2000,"Drama"
"The Legend of Korra",2012,"Animation"
"The Legend of Korra",2012,"Action"
"The Legend of Korra",2012,"Adventure"
"The Legend of Korra",2012,"Comedy"
"The Legend of Korra",2012,"Drama"
"The Legend of Korra",2012,"Family"
"The Legend of Korra",2012,"Fantasy"
"The Legend of Korra",2012,"Sci-Fi"
"How to Get Away with Murder",2014,"Crime"
"How to Get Away with Murder",2014,"Drama"
"How to Get Away with Murder",2014,"Mystery"
"How to Get Away with Murder",2014,"Thriller"
"Master of None",2015,"Comedy"
"Master of None",2015,"Drama"
"Chappelle's Show",2003,"Comedy"
"Chappelle's Show",2003,"Music"
"Downton Abbey",2010,"Drama"
"Downton Abbey",2010,"Romance"
"Gotham",2014,"Action"
"Gotham",2014,"Crime"
"Gotham",2014,"Drama"
"Gotham",2014,"Mystery"
"Gotham",2014,"Sci-Fi"
"Gotham",2014,"Thriller"
"Pose",2018,"Drama"
"Bodyguard",2018,"Crime"
"Bodyguard",2018,"Drama"
