Titulo,Ano,Ator
Mindhunter,2017,Sonny Valicenti
Mindhunter,2017,Stacey Roca
Mindhunter,2017,Hannah Gross
Mindhunter,2017,Joe Tuttle
Mindhunter,2017,Zachary Scott Ross
Mindhunter,2017,Cotter Smith
Mindhunter,2017,Albert Jones
Mindhunter,2017,Lauren Glazier
Mindhunter,2017,Michael Cerveris
Mindhunter,2017,Dohn Norwood
Mindhunter,2017,Gareth Williams
Mindhunter,2017,June Carryl
Community,2009,Joel McHale
Community,2009,Gillian Jacobs
Community,2009,Danny Pudi
Community,2009,Alison Brie
Community,2009,Ken Jeong
Community,2009,Yvette Nicole Brown
Community,2009,Jim Rash
Community,2009,Donald Glover
Community,2009,Chevy Chase
Community,2009,Richard Erdman
Community,2009,Erik Charles Nielsen
Community,2009,Dino Stamatopoulos
Community,2009,Danielle Kaplowitz
Community,2009,John Oliver
Community,2009,Charley Koontz
Narcos,2015,Pedro Pascal
Narcos,2015,Lizbeth Eden
Narcos,2015,Wagner Moura
Narcos,2015,Boyd Holbrook
Narcos,2015,Alberto Ammann
Narcos,2015,Muratcan Savci
Narcos,2015,Paulina Gaitan
Narcos,2015,Juan Murcia
Narcos,2015,Jorge Monterrosa
Narcos,2015,Damián Alcázar
Narcos,2015,Francisco Denis
Narcos,2015,Raúl Méndez
Narcos,2015,Juan Sebastián Calero
Narcos,2015,Paulina García
Narcos,2015,Diego Cataño
Shameless,2011,William H. Macy
Shameless,2011,Ethan Cutkosky
Shameless,2011,Jeremy Allen White
Shameless,2011,Shanola Hampton
Shameless,2011,Steve Howey
Shameless,2011,Emma Kenney
Shameless,2011,Cameron Monaghan
Shameless,2011,Emmy Rossum
Shameless,2011,Michael Patrick McGill
Shameless,2011,Noel Fisher
Shameless,2011,Jim Hoffmaster
Shameless,2011,Brenden Sims
Shameless,2011,Isidora Goreshter
Shameless,2011,Christian Isaiah
Shameless,2011,Joan Cusack
Money Heist,2017,Úrsula Corberó
Money Heist,2017,Álvaro Morte
Money Heist,2017,Itziar Ituño
Money Heist,2017,Pedro Alonso
Money Heist,2017,Miguel Herrán
Money Heist,2017,Jaime Lorente
Money Heist,2017,Esther Acebo
Money Heist,2017,Enrique Arce
Money Heist,2017,Darko Peric
Money Heist,2017,Alba Flores
Money Heist,2017,Fernando Soto
Money Heist,2017,Mario de la Rosa
Money Heist,2017,Rocco Narva
Money Heist,2017,Hovik Keuchkerian
Money Heist,2017,Rodrigo De la Serna
Marvel's Daredevil,2015,Charlie Cox
Marvel's Daredevil,2015,Deborah Ann Woll
Marvel's Daredevil,2015,Elden Henson
Marvel's Daredevil,2015,Vincent D'Onofrio
Marvel's Daredevil,2015,Royce Johnson
Marvel's Daredevil,2015,Geoffrey Cantor
Marvel's Daredevil,2015,Jay Ali
Marvel's Daredevil,2015,Jon Bernthal
Marvel's Daredevil,2015,Stephen Rider
Marvel's Daredevil,2015,Wilson Bethel
Marvel's Daredevil,2015,Ayelet Zurer
Marvel's Daredevil,2015,Peter McRobbie
Marvel's Daredevil,2015,Amy Rutberg
Marvel's Daredevil,2015,Elodie Yung
Marvel's Daredevil,2015,Toby Leonard Moore
Lucifer,2016,Tom Ellis
Lucifer,2016,Lauren German
Lucifer,2016,Kevin Alejandro
Lucifer,2016,D.B. Woodside
Lucifer,2016,Lesley-Ann Brandt
Lucifer,2016,Rachael Harris
Lucifer,2016,Aimee Garcia
Lucifer,2016,Scarlett Estevez
Lucifer,2016,Tricia Helfer
Lucifer,2016,Tom Welling
Lucifer,2016,Inbar Lavi
Lucifer,2016,Brianna Hildebrand
Lucifer,2016,Kevin Rankin
Lucifer,2016,Graham McTavish
Lucifer,2016,Scott Porter
Supernatural,2005,Jared Padalecki
Supernatural,2005,Jensen Ackles
Supernatural,2005,Misha Collins
Supernatural,2005,Mark Sheppard
Supernatural,2005,Jim Beaver
Supernatural,2005,Alexander Calvert
Supernatural,2005,Mark Pellegrino
Supernatural,2005,Samantha Smith
Supernatural,2005,Ruth Connell
Supernatural,2005,Rob Benedict
Supernatural,2005,Kim Rhodes
Supernatural,2005,Osric Chau
Supernatural,2005,David Haydn-Jones
Supernatural,2005,Curtis Armstrong
Supernatural,2005,Lisa Berry
The Witcher,2019,Graham McTavish
The Witcher,2019,Liz Carr
The Witcher,2019,Simon Callow
The Witcher,2019,Chris Fulton
The Witcher,2019,Kevin Doyle
The Witcher,2019,Adjoa Andoh
The Witcher,2019,Cassie Clare
The Witcher,2019,Yasen Atour
The Witcher,2019,Basil Eidenbenz
The Witcher,2019,Mecia Simson
Ozark,2017,Jason Bateman
Ozark,2017,Laura Linney
Ozark,2017,Sofia Hublitz
Ozark,2017,Skylar Gaertner
Ozark,2017,Julia Garner
Ozark,2017,Lisa Emery
Ozark,2017,Charlie Tahan
Ozark,2017,Kevin L. Johnson
Ozark,2017,Jordana Spiro
Ozark,2017,Jason Butler Harner
Ozark,2017,Peter Mullan
Ozark,2017,Carson Holmes
Ozark,2017,Janet McTeer
Ozark,2017,McKinley Belcher III
Ozark,2017,Veronica Falcón
The Crown,2016,Claire Foy
The Crown,2016,Olivia Colman
The Crown,2016,Imelda Staunton
The Crown,2016,Matt Smith
The Crown,2016,Tobias Menzies
The Crown,2016,Jonathan Pryce
The Crown,2016,Lesley Manville
The Crown,2016,Elizabeth Debicki
The Crown,2016,Dominic West
The Crown,2016,Charles Edwards
The Crown,2016,Marion Bailey
The Crown,2016,Victoria Hamilton
The Crown,2016,Helena Bonham Carter
The Crown,2016,Vanessa Kirby
The Crown,2016,Pip Torrens
Cobra Kai,2018,Courtney Henggeler
Cobra Kai,2018,Mary Mouser
Cobra Kai,2018,Tanner Buchanan
Cobra Kai,2018,Ralph Macchio
Cobra Kai,2018,Xolo Maridueña
Cobra Kai,2018,William Zabka
Cobra Kai,2018,Jacob Bertrand
Cobra Kai,2018,Gianni DeCenzo
Cobra Kai,2018,Martin Kove
Cobra Kai,2018,Vanessa Rubio
Cobra Kai,2018,Peyton List
Cobra Kai,2018,Aedin Mincks
Cobra Kai,2018,Owen Morgan
Cobra Kai,2018,Khalil Everage
Cobra Kai,2018,Nichole Brown
The Blacklist,2013,James Spader
The Blacklist,2013,Diego Klattenhoff
The Blacklist,2013,Harry Lennix
The Blacklist,2013,Hisham Tawfiq
The Blacklist,2013,Amir Arison
The Blacklist,2013,Megan Boone
The Blacklist,2013,Mozhan Marnò
The Blacklist,2013,Ryan Eggold
The Blacklist,2013,Laura Sohn
The Blacklist,2013,Susan Blommaert
The Blacklist,2013,Baz
The Blacklist,2013,Parminder Nagra
The Blacklist,2013,Teddy Coluca
The Blacklist,2013,Deirdre Lovejoy
The Blacklist,2013,Genson Blimline
The Flash,2014,Grant Gustin
The Flash,2014,Candice Patton
The Flash,2014,Danielle Panabaker
The Flash,2014,Jesse L. Martin
The Flash,2014,Carlos Valdes
The Flash,2014,Tom Cavanagh
The Flash,2014,Danielle Nicolet
The Flash,2014,Hartley Sawyer
The Flash,2014,Keiynan Lonsdale
The Flash,2014,Patrick Sabongui
The Flash,2014,Kayla Compton
The Flash,2014,Jessica Parker Kennedy
The Flash,2014,Rick Cosnett
The Flash,2014,John Wesley Shipp
The Flash,2014,Michelle Harrison
Outlander,2014,Caitriona Balfe
Outlander,2014,Sam Heughan
Outlander,2014,Duncan Lacroix
Outlander,2014,Sophie Skelton
Outlander,2014,Richard Rankin
Outlander,2014,Tobias Menzies
Outlander,2014,César Domboy
Outlander,2014,Lauren Lyle
Outlander,2014,John Bell
Outlander,2014,Graham McTavish
Outlander,2014,Grant O'Rourke
Outlander,2014,Caitlin O'Ryan
Outlander,2014,Stephen Walters
Outlander,2014,Ed Speleers
Outlander,2014,Romann Berrux
Fullmetal Alchemist: Brotherhood,2009,Kent Williams
Fullmetal Alchemist: Brotherhood,2009,Iemasa Kayumi
Fullmetal Alchemist: Brotherhood,2009,Vic Mignogna
Fullmetal Alchemist: Brotherhood,2009,Romi Park
Fullmetal Alchemist: Brotherhood,2009,Muriel Hofmann
Fullmetal Alchemist: Brotherhood,2009,Lili Troncale
Fullmetal Alchemist: Brotherhood,2009,Rie Kugimiya
Fullmetal Alchemist: Brotherhood,2009,Maxey Whitehead
Fullmetal Alchemist: Brotherhood,2009,Travis Willingham
Fullmetal Alchemist: Brotherhood,2009,Shin'ichirô Miki
Fullmetal Alchemist: Brotherhood,2009,Colleen Clinkenbeard
Fullmetal Alchemist: Brotherhood,2009,Fumiko Orikasa
Fullmetal Alchemist: Brotherhood,2009,Kenta Miyake
Fullmetal Alchemist: Brotherhood,2009,J. Michael Tatum
Fullmetal Alchemist: Brotherhood,2009,Yuki Hayashi
The Good Place,2016,Kristen Bell
The Good Place,2016,William Jackson Harper
The Good Place,2016,Jameela Jamil
The Good Place,2016,D'Arcy Carden
The Good Place,2016,Manny Jacinto
The Good Place,2016,Ted Danson
The Good Place,2016,Marc Evan Jackson
The Good Place,2016,Tiya Sircar
The Good Place,2016,Josh Siegal
The Good Place,2016,Maya Rudolph
The Good Place,2016,Kirby Howell-Baptiste
The Good Place,2016,Jason Mantzoukas
The Good Place,2016,Brandon Scott Jones
The Good Place,2016,Bambadjan Bamba
The Good Place,2016,Jama Williamson
House of Cards,2013,Robin Wright
House of Cards,2013,Michael Kelly
House of Cards,2013,Kevin Spacey
House of Cards,2013,Justin Doescher
House of Cards,2013,Derek Cecil
House of Cards,2013,Jayne Atkinson
House of Cards,2013,Nathan Darrow
House of Cards,2013,Mahershala Ali
House of Cards,2013,Boris McGiver
House of Cards,2013,Paul Sparks
House of Cards,2013,Molly Parker
House of Cards,2013,Neve Campbell
House of Cards,2013,Jeremy Holm
House of Cards,2013,Michel Gill
House of Cards,2013,Marla Aaron Wapner
Atypical,2017,Jennifer Jason Leigh
Atypical,2017,Keir Gilchrist
Atypical,2017,Brigette Lundy-Paine
Atypical,2017,Michael Rapaport
Atypical,2017,Nik Dodani
Atypical,2017,Jenna Boyd
Atypical,2017,Graham Rogers
Atypical,2017,Fivel Stewart
Atypical,2017,Amy Okuda
Atypical,2017,Nina Ameri
Atypical,2017,Jeffrey Rosenthal
Atypical,2017,Domonique Brown
Atypical,2017,Rachel Redleaf
Atypical,2017,Raúl Castillo
Atypical,2017,Angel Laketa Moore
Grey's Anatomy,2005,Ellen Pompeo
Grey's Anatomy,2005,Chandra Wilson
Grey's Anatomy,2005,James Pickens Jr.
Grey's Anatomy,2005,Justin Chambers
Grey's Anatomy,2005,Kevin McKidd
Grey's Anatomy,2005,Jesse Williams
Grey's Anatomy,2005,Bokhee An
Grey's Anatomy,2005,Patrick Dempsey
Grey's Anatomy,2005,Sara Ramirez
Grey's Anatomy,2005,Jessica Capshaw
Grey's Anatomy,2005,Sandra Oh
Grey's Anatomy,2005,Camilla Luddington
Grey's Anatomy,2005,Sarah Drew
Grey's Anatomy,2005,Caterina Scorsone
Grey's Anatomy,2005,Kelly McCreary
Arrested Development,2003,Jason Bateman
Arrested Development,2003,Portia de Rossi
Arrested Development,2003,Will Arnett
Arrested Development,2003,Michael Cera
Arrested Development,2003,Alia Shawkat
Arrested Development,2003,Tony Hale
Arrested Development,2003,David Cross
Arrested Development,2003,Jeffrey Tambor
Arrested Development,2003,Jessica Walter
Arrested Development,2003,Ron Howard
Arrested Development,2003,Henry Winkler
Arrested Development,2003,John Beard
Arrested Development,2003,Liza Minnelli
Arrested Development,2003,Mae Whitman
Arrested Development,2003,Justin Grant Wade
Lupin,2021,Etan Simon
Lupin,2021,Mamadou Haidara
Lupin,2021,Adama Niane
Lupin,2021,Vincent Garanger
Lupin,2021,Nicolas Wanczycki
Lupin,2021,Adrian Valli De Villebonne
The Umbrella Academy,2019,Elliot Page
The Umbrella Academy,2019,Tom Hopper
The Umbrella Academy,2019,David Castañeda
The Umbrella Academy,2019,Emmy Raver-Lampman
The Umbrella Academy,2019,Robert Sheehan
The Umbrella Academy,2019,Aidan Gallagher
The Umbrella Academy,2019,Justin H. Min
The Umbrella Academy,2019,Colm Feore
The Umbrella Academy,2019,Ritu Arya
The Umbrella Academy,2019,Jordan Claire Robbins
The Umbrella Academy,2019,Kate Walsh
The Umbrella Academy,2019,Adam Godley
The Umbrella Academy,2019,Cameron Britton
The Umbrella Academy,2019,Mary J. Blige
The Umbrella Academy,2019,Yusuf Gatewood
Orange Is the New Black,2013,Taylor Schilling
Orange Is the New Black,2013,Kate Mulgrew
Orange Is the New Black,2013,Uzo Aduba
Orange Is the New Black,2013,Danielle Brooks
Orange Is the New Black,2013,Dascha Polanco
Orange Is the New Black,2013,Selenis Leyva
Orange Is the New Black,2013,Nick Sandow
Orange Is the New Black,2013,Yael Stone
Orange Is the New Black,2013,Taryn Manning
Orange Is the New Black,2013,Jackie Cruz
Orange Is the New Black,2013,Adrienne C. Moore
Orange Is the New Black,2013,Laura Prepon
Orange Is the New Black,2013,Natasha Lyonne
Orange Is the New Black,2013,Jessica Pimentel
Orange Is the New Black,2013,Elizabeth Rodriguez
The Vampire Diaries,2009,Paul Wesley
The Vampire Diaries,2009,Ian Somerhalder
The Vampire Diaries,2009,Kat Graham
The Vampire Diaries,2009,Candice King
The Vampire Diaries,2009,Zach Roerig
The Vampire Diaries,2009,Michael Trevino
The Vampire Diaries,2009,Nina Dobrev
The Vampire Diaries,2009,Steven R. McQueen
The Vampire Diaries,2009,Matthew Davis
The Vampire Diaries,2009,Michael Malarkey
The Vampire Diaries,2009,Joseph Morgan
The Vampire Diaries,2009,Marguerite MacIntyre
The Vampire Diaries,2009,Sara Canning
The Vampire Diaries,2009,Claire Holt
The Vampire Diaries,2009,Susan Walters
Demon Slayer: Kimetsu no Yaiba,2019,Zach Aguilar
Demon Slayer: Kimetsu no Yaiba,2019,Abby Trott
Demon Slayer: Kimetsu no Yaiba,2019,Akari Kitô
Demon Slayer: Kimetsu no Yaiba,2019,Aleks Le
Demon Slayer: Kimetsu no Yaiba,2019,Bryce Papenbrook
Demon Slayer: Kimetsu no Yaiba,2019,Doug Erholtz
Demon Slayer: Kimetsu no Yaiba,2019,Johnny Yong Bosch
Demon Slayer: Kimetsu no Yaiba,2019,Brook Chalmers
Demon Slayer: Kimetsu no Yaiba,2019,Saori Hayami
Demon Slayer: Kimetsu no Yaiba,2019,Erika Harlacher
The Last Dance,2020,Phil Jackson
The Last Dance,2020,David Aldridge
The Last Dance,2020,Michael Wilbon
The Last Dance,2020,Steve Kerr
The Last Dance,2020,Deloris Jordan
The Last Dance,2020,Bill Wennington
The Last Dance,2020,Andrea Kremer
The Last Dance,2020,John Paxson
The Last Dance,2020,Ahmad Rashad
The Last Dance,2020,Bob Costas
The Last Dance,2020,David Stern
The Last Dance,2020,Jerry Reinsdorf
American Horror Story,2011,Evan Peters
American Horror Story,2011,Sarah Paulson
American Horror Story,2011,Denis O'Hare
American Horror Story,2011,Lily Rabe
American Horror Story,2011,Kathy Bates
American Horror Story,2011,Frances Conroy
American Horror Story,2011,Jessica Lange
American Horror Story,2011,Angela Bassett
American Horror Story,2011,Emma Roberts
American Horror Story,2011,Cheyenne Jackson
American Horror Story,2011,Adina Porter
American Horror Story,2011,Billie Lourd
American Horror Story,2011,Leslie Grossman
American Horror Story,2011,Taissa Farmiga
American Horror Story,2011,Finn Wittrock
Elite,2018,Itzan Escamilla
Elite,2018,Omar Ayuso
Elite,2018,Miguel Bernardeau
Elite,2018,Arón Piper
Elite,2018,Claudia Salas
Elite,2018,Georgina Amorós
Elite,2018,Mina El Hammani
Elite,2018,Elisabet Gelabert
Elite,2018,John Omohundro
Elite,2018,Álvaro Rico
Elite,2018,Ester Expósito
Elite,2018,Danna Paola
Elite,2018,Ainhoa Santamaría
Elite,2018,Abdelatif Hwidar
Elite,2018,Eva Llorach
BoJack Horseman,2014,Will Arnett
BoJack Horseman,2014,Amy Sedaris
BoJack Horseman,2014,Alison Brie
BoJack Horseman,2014,Aaron Paul
