Titulo,Ano,Duracao,Temporadas,Plataforma,Classificacao Indicativa,IMDb,Rotten Tomatoes,Enredo
Monty Python's Flying Circus,1969,,4 Seasons,Netflix,16+,8.8/10,81/100,"The Monty Python players make their mark with a winning mix of wit, ingenuity and brilliant timing – and a penchant for mockery and cross-dressing."
After Life,2019,,2 Seasons,Netflix,18+,8.4/10,81/100,"Struggling to come to terms with his wife's death, a writer for a newspaper adopts a gruff new persona in an effort to push away those trying to help."
Riverdale,2017,,4 Seasons,Netflix,16+,6.8/10,81/100,"While navigating the troubled waters of sex, romance, school and family, teen Archie and his gang become entangled in a dark Riverdale mystery."
Big Mouth,2017,,4 Seasons,Netflix,18+,7.9/10,81/100,Teenage friends find their lives upended by the wonders and horrors of puberty in this edgy comedy from real-life pals Nick Kroll and Andrew Goldberg.
I Think You Should Leave with Tim Robinson,2019,,2 Seasons,Netflix,18+,7.8/10,81/100,There is no such thing as an ordinary interaction in this offbeat sketch comedy series that features a deep roster of guest stars.
Derry Girls,2018,,2 Seasons,Netflix,16+,8.4/10,81/100,"Amidst the political conflict of Northern Ireland in the 1990s, five high school students square off with the universal challenges of being a teenager."
The Promised Neverland,2019,,1 Season,Netflix,18+,8.5/10,81/100,"When three gifted kids learn that their isolated orphanage isn’t the haven they thought, they vow to lead the other children in a risky escape plan."
Lost in Space,2018,,2 Seasons,Netflix,7+,7.3/10,80/100,"After crash-landing on an alien planet, the Robinson family fights against all odds to survive and escape. But they're surrounded by hidden dangers."
Star Trek: Deep Space Nine,1993,,7 Seasons,Netflix,7+,8.0/10,80/100,"In this ""Star Trek"" spin-off, Commander Sisko leads the multi-species crew of Deep Space Nine, a Federation space station with a complex mission."
Jane the Virgin,2014,,,Outra,16+,7.8/10,80/100,
Godless,2017,,1 Season,Netflix,18+,8.3/10,80/100,"A ruthless outlaw terrorizes the West in search of a former member of his gang, who’s found a new life in a quiet town populated only by women."
The OA,2016,,2 Seasons,Netflix,18+,7.8/10,80/100,"Seven years after vanishing from her home, a young woman returns with mysterious new abilities and recruits five strangers for a secret mission."
DC's Legends of Tomorrow,2016,,5 Seasons,Netflix,16+,6.8/10,80/100,"A mysterious ""time master"" from the future unites an unlikely group of superheroes and villains to save the world from a powerful evil."
Sacred Games,2018,,2 Seasons,Netflix,18+,8.6/10,80/100,"A link in their pasts leads an honest cop to a fugitive gang boss, whose cryptic warning spurs the officer on a quest to save Mumbai from cataclysm."
iZombie,2015,,,Outra,16+,7.8/10,80/100,
Longmire,2012,,6 Seasons,Netflix,16+,8.3/10,80/100,This contemporary crime thriller focuses on a Wyoming sheriff who's rebuilding his life and career following the death of his wife.
Happy Endings,2011,,3 Seasons,Netflix,16+,7.7/10,80/100,"After his fiancée, Alex, dumps him at the altar, Dave finds himself nursing a broken heart and battling her for custody of their quirky friends."
Into the Badlands,2015,,3 Seasons,Netflix,16+,8.0/10,80/100,"Dreaming of escaping to a distant city, a ferocious warrior and a mysterious boy tangle with territorial warlords and their highly trained killers."
The Originals,2013,,5 Seasons,Netflix,16+,8.2/10,80/100,"The Mikaelsons move to New Orleans and form an alliance with local witches in an effort to rule the city once again in this ""Vampire Diaries"" spinoff."
Anne with an E,2017,,3 Seasons,Netflix,all,8.7/10,80/100,"A plucky orphan whose passions run deep finds an unlikely home with a spinster and her soft-spoken bachelor brother. Based on ""Anne of Green Gables."""
Grace and Frankie,2015,,7 Seasons,Netflix,18+,8.3/10,80/100,"They’re not friends, but when their husbands leave them for each other, proper Grace and eccentric Frankie begin to bond in this Emmy-nominated series."
Chilling Adventures of Sabrina,2018,,4 Seasons,Netflix,16+,7.5/10,80/100,"Magic and mischief collide as half-human, half-witch Sabrina navigates between two worlds: mortal teen life and her family's legacy, the Church of Night."
Queen of the South,2016,,4 Seasons,Netflix,16+,8.0/10,79/100,"Forced to work for a cartel that recently killed her boyfriend, Teresa relies on her street smarts, a loyal pal and a mysterious notebook to survive."
A Series of Unfortunate Events,2017,,3 Seasons,Netflix,7+,7.8/10,79/100,"The extraordinary Baudelaire orphans face trials, tribulations and the evil Count Olaf in their fateful quest to unlock long-held family secrets."
Bridgerton,2020,,1 Season,Netflix,,7.3/10,79/100,The eight close-knit siblings of the Bridgerton family look for love and happiness in London high society. Inspired by Julia Quinn's bestselling novels.
Unorthodox,2020,,1 Season,Netflix,18+,8.0/10,79/100,A Hasidic Jewish woman in Brooklyn flees to Berlin from an arranged marriage and is taken in by a group of musicians — until her past comes calling.
Stargate SG-1,1997,,10 Seasons,Netflix,13+,8.4/10,79/100,Stargate Command roars into action when Jack O'Neill and his crew find a Stargates map that lets them combat alien maneuvers all across the galaxy.
Outer Banks,2020,,2 Seasons,Netflix,18+,7.6/10,79/100,"On an island of haves and have-nots, teen John B enlists his three best friends to hunt for a legendary treasure linked to his father's disappearance."
13 Reasons Why,2017,,4 Seasons,Netflix,18+,7.6/10,79/100,"After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice."
Unbreakable Kimmy Schmidt,2015,,4 Seasons,Netflix,16+,7.6/10,79/100,"When a woman is rescued from a doomsday cult and lands in New York City, she must navigate a world she didn’t think even existed anymore."
Marvel's Luke Cage,2016,,2 Seasons,Netflix,18+,7.3/10,79/100,"A hoodie-wearing, unbreakable ex-con fights to clear his name and save his neighborhood. He wasn't looking for a fight, but the people need a hero."
GLOW,2017,,3 Seasons,Netflix,18+,8.0/10,79/100,"In 1980s LA, a crew of misfits reinvent themselves as the Gorgeous Ladies of Wrestling. A comedy by the team behind ""Orange Is the New Black."""
Borgen,2010,,3 Seasons,Netflix,18+,8.5/10,79/100,A shocking turn of events puts Birgitte Nyborg in the Danish prime minister's seat as her country's first female leader in this landmark drama.
The 4400,2004,,4 Seasons,Netflix,7+,7.3/10,79/100,"4400 people who vanished over the course of five decades suddenly reappear. None have aged, and slowly it's revealed that they have mysterious powers."
Alias Grace,2017,,1 Season,Netflix,18+,7.7/10,79/100,"In 19th-century Canada, a psychiatrist weighs whether a murderess should be pardoned due to insanity. Based on Margaret Atwood's award-winning novel."
All American,2018,,3 Seasons,Netflix,16+,7.7/10,79/100,Culture clashes and brewing rivalries test a teen football player from South Los Angeles when he’s recruited to the Beverly Hills High School team.
Santa Clarita Diet,2017,,3 Seasons,Netflix,18+,7.8/10,79/100,They're ordinary husband and wife realtors until she undergoes a dramatic change that sends them down a road of death and destruction. In a good way.
Reign,2013,,4 Seasons,Netflix,16+,7.5/10,78/100,"This vivid historical drama series tells of the rise to power of Mary, Queen of Scots, amid a court full of sexual and political intrigue."
Maniac,2018,,1 Season,Netflix,18+,7.8/10,78/100,Two struggling strangers connect during a mind-bending pharmaceutical trial involving a doctor with mother issues and an emotionally complex computer.
Dark Matter,2015,,3 Seasons,Netflix,18+,7.5/10,78/100,"After waking up aboard a derelict spaceship with no memories, the crew of the Raza investigates the mystery of their identities and destination."
Star Trek: Voyager,1995,,7 Seasons,Netflix,7+,7.8/10,78/100,"On Voyager's 75-year journey back to Earth, the crew members encounter unknown species as they draw closer to a mysterious quadrant of space."
"Tiger King: Murder, Mayhem and Madness",2020,,1 Season,Netflix,18+,7.6/10,78/100,A zoo owner spirals out of control amid a cast of eccentric characters in this true murder-for-hire story from the underworld of big cat breeding.
Call the Midwife,2012,,9 Seasons,Netflix,16+,8.4/10,78/100,This period drama set in impoverished East London in the 1950s follows a newly qualified midwife and her colleagues at a nursing convent.
Queer Eye,2018,,5 Seasons,Netflix,16+,8.5/10,78/100,"An all-new “Fab Five” advise men on fashion, grooming, food, culture and design in this modern reboot of the Emmy Award-winning reality series."
American Vandal,2017,,2 Seasons,Netflix,16+,8.2/10,78/100,"A high school is rocked by an act of vandalism, but the top suspect pleads innocence and finds an ally in a filmmaker. A satirical true crime mystery."
Wynonna Earp,2016,,4 Seasons,Netflix,16+,7.5/10,78/100,The outcast descendant of lawman Wyatt Earp teams up with an immortal Doc Holliday to rid the world of demonic revenants from the Wild West.
Marvel's The Defenders,2017,,1 Season,Netflix,18+,7.3/10,78/100,"Daredevil, Jessica Jones, Luke Cage and Iron Fist join forces to take on common enemies as a sinister conspiracy threatens New York City."
HAPPY!,2017,,,Outra,18+,8.2/10,77/100,
Haikyu!!,2014,,2 Seasons,Netflix,16+,8.7/10,77/100,"Inspired by a championship match he sees on TV, junior high schooler Hinata joins a volleyball club and begins training, despite his short height."
Colony,2016,,3 Seasons,Netflix,16+,7.4/10,77/100,"When LA is invaded by outside forces and becomes a walled-in settlement, a former FBI agent and his wife risk everything to find their lost son."
Heartland,2007,,13 Seasons,Netflix,7+,8.4/10,77/100,Spunky teenager Amy is reeling from the sudden death of her mother when she and her grandfather are threatened with the loss of their horse ranch.
Alone,2015,,1 Season,Netflix,16+,8.4/10,77/100,"Equipped with limited resources, an isolated group of individuals is subjected to the harsh conditions of the wilderness and must survive — or tap out."
Marco Polo,2014,,2 Seasons,Netflix,18+,8.0/10,77/100,"Set in a world of greed, betrayal, sexual intrigue and rivalry, “Marco Polo” is based on the famed explorer’s adventures in Kublai Khan’s court."
Wild Wild Country,2018,,1 Season,Netflix,16+,8.1/10,77/100,"When a controversial cult leader builds a utopian city in the Oregon desert, conflict with the locals escalates into a national scandal."
The Dragon Prince,2018,,3 Seasons,Netflix,7+,8.4/10,77/100,An extraordinary discovery inspires two human princes and an elven assassin to team up on an epic quest to bring peace to their warring lands.
Locke & Key,2020,,1 Season,Netflix,16+,7.4/10,77/100,"After their dad's murder, three siblings move with their mom to his ancestral estate, where they discover magical keys that unlock powers — and secrets."
Love,2016,,91 min,Netflix,18+,7.7/10,77/100,The troubling inner workings of a toxic marriage reveal themselves in surprising ways after one of the couple’s feuds spins out of control.
One Day at a Time,2017,,3 Seasons,Netflix,7+,8.2/10,77/100,"In a reimagining of the TV classic, a newly single Latina mother raises her teen daughter and tween son with the ""help"" of her old-school mom."
Feel Good,2020,,2 Seasons,Netflix,18+,7.5/10,77/100,"Stand-up comic Mae Martin navigates a passionate, messy new relationship with her girlfriend, George, while dealing with the challenges of sobriety."
Fauda,2015,,3 Seasons,Netflix,16+,8.2/10,77/100,"A top Israeli agent comes out of retirement to hunt for a Palestinian militant he thought he'd killed, setting a chaotic chain of events into motion."
The Dark Crystal: Age of Resistance,2019,,1 Season,Netflix,7+,8.4/10,77/100,"As power-hungry overlords drain life from the planet Thra, a group of brave Gelfling unite on a quest to save their world and fight off the darkness."
Top Boy,2011,,1 Season,Netflix,18+,8.4/10,77/100,"Two seasoned drug dealers return to the gritty streets of London, but their pursuit of money and power is threatened by a young and ruthless hustler."
I Am Not Okay with This,2020,,,Outra,18+,7.5/10,77/100,
Supergirl,2015,,5 Seasons,Netflix,16+,6.2/10,77/100,"To avert a disaster, Kara Danvers reveals her powers and true identity: She is Superman's cousin, now known as Supergirl, protector of National City."
The Shannara Chronicles,2016,,2 Seasons,Netflix,16+,7.2/10,77/100,"After the destruction of civilization, three young heroes become Earth's last hope for salvation when a massive force of demons threatens the planet."
Designated Survivor,2016,,3 Seasons,Netflix,7+,7.5/10,77/100,America's fate rests in the hands of a low-level official after an attack on Washington decimates the government in this gripping political thriller.
Travelers,2016,,3 Seasons,Netflix,16+,8.1/10,77/100,"A federal agent tracks four people who suddenly seem to possess entirely new personalities, leading to a startling discovery about humanity's future."
StartUp,2016,,3 Seasons,Netflix,18+,7.9/10,77/100,An attempt to launder stolen money finances a cryptocurrency that puts entrepreneurs in business with a corrupt FBI agent and a Miami gang.
