Titulo,Ano,Lancamento na Plataforma
Fast Layne,2019,"November 12, 2019"
Girl Vs. Monster,2012,"November 12, 2019"
Gravity Falls,2012–2016,"November 12, 2019"
I Didn't Do It,2014–2015,"March 20, 2020"
Insider,2020–,"March 20, 2020"
Jake and the Never Land Pirates,2011–2016,"November 12, 2019"
Jonas,2009–2010,"November 12, 2019"
Disney Junior Music Nursery Rhymes,2018–,"November 12, 2019"
K.C. Undercover,2015–2018,"November 12, 2019"
Lab Rats: Elite Force,2016–2019,"November 12, 2019"
Legend of the Three Caballeros,2018–,"November 12, 2019"
Mickey Mouse Clubhouse,2006–2016,"November 12, 2019"
Milo Murphy's Law,2016–,"November 12, 2019"
Minnie's Bow-Toons,2011–2016,"November 12, 2019"
Randy Cunningham: 9th Grade Ninja,2012–2015,"January 15, 2020"
Raven's Home,2017–,"November 12, 2019"
Star vs. the Forces of Evil,2015–2019,"December 1, 2019"
Stuck in the Middle,2016–2018,"November 12, 2019"
Sydney to the Max,2019–,"November 12, 2019"
Take Two with Phineas and Ferb,2010–,"November 12, 2019"
The Lion Guard,2016–,"November 12, 2019"
Under the Sea: A Descendants Story,2018,"November 12, 2019"
Vampirina,2017–,"November 12, 2019"
Adventures of the Gummi Bears,1985–1991,"November 12, 2019"
Disney's Doug,1996–1999,"November 12, 2019"
DuckTales,1987–1990,"November 12, 2019"
Hercules,1998–1999,"November 12, 2019"
Kim Possible,2002–2007,"November 12, 2019"
Little Einsteins,2005–2009,"November 12, 2019"
Mighty Ducks,1996–1997,"November 12, 2019"
Recess,1997–2001,"November 12, 2019"
The Emperor's New School,2006–2008,"November 12, 2019"
The Kid,2000,"November 12, 2019"
The Little Mermaid,1992–1994,"November 12, 2019"
African Cats,2011,"November 12, 2019"
Bears,2014,"November 12, 2019"
Born in China,2016,"November 12, 2019"
Chimpanzee,2012,"November 12, 2019"
The Crimson Wing: Mystery of the Flamingos,2008,"November 12, 2019"
Monkey Kingdom,2015,"November 12, 2019"
Penguins,2019,"April 3, 2020"
Disneynature: Wings of Life,2011,"November 12, 2019"
Diving with Dolphins,2020,"April 3, 2020"
Doc McStuffins,2012–,"November 12, 2019"
Doctor Dolittle,1998,"April 1, 2020"
Dr. Dolittle 2,2001,"March 1, 2020"
Dog Whisperer with Cesar Millan,2004–2016,"November 12, 2019"
Dog: Impossible,2019–,"January 15, 2020"
Dolphin Reef,2020,"April 3, 2020"
Don's Fountain of Youth,1953,"April 3, 2020"
Don't Look Under the Bed,1999,"November 12, 2019"
Donald's Dog Laundry,1940,"April 3, 2020"
Donald's Golf Game,1938,"November 12, 2019"
Donald's Tire Trouble,1943,"November 12, 2019"
Double Dribble,1946,"April 3, 2020"
Double Teamed,2002,"November 12, 2019"
Doug's 1st Movie,1999,"November 12, 2019"
"Dr. Oakley, Yukon Vet",2014–,"November 12, 2019"
"Dr. T, Lone Star Vet",2019–,"January 1, 2020"
Dragon Around,1954,"April 3, 2020"
Drain Alcatraz,2017,"January 1, 2020"
Drain the Bermuda Triangle,2014,"January 1, 2020"
Drain the Great Lakes,2011,"January 1, 2020"
Drain the Ocean: WWII,2016,"January 1, 2020"
Drain the Oceans,2018–,"November 12, 2019"
Drain the Sunken Pirate City,2017,"January 1, 2020"
Drain the Titanic,2015,"January 1, 2020"
DuckTales,2017–,"November 12, 2019"
DuckTales the Movie: Treasure of the Lost Lamp,1990,"November 12, 2019"
Dug's Special Mission,2009,"November 12, 2019"
Dumbo,2019,"November 12, 2019"
Earth Live,2017,"November 12, 2019"
Eddie's Million Dollar Cook-Off,2003,"November 12, 2019"
Eight Below,2006,"November 12, 2019"
Elena of Avalor,2016–,"November 12, 2019"
Elephant,2020,"April 3, 2020"
Elmer Elephant,1936,"April 3, 2020"
Emil and the Detectives,1964,"November 12, 2019"
Empire of Dreams: The Story of the 'Star Wars' Trilogy,2004,"November 12, 2019"
Encore!,2019–,"November 12, 2019"
Escape to Witch Mountain,1975,"November 12, 2019"
