Titulo,Ano,Lancamento na Plataforma
Sister Act,1992,"November 12, 2019"
Sister Act 2: Back in the Habit,1993,"November 12, 2019"
Skyrunners,2009,"November 12, 2019"
Sleeping Beauty,1959,"November 12, 2019"
Smart Guy,1997–1999,"October 1, 2019"
Smart House,1999,"November 12, 2019"
Smash and Grab,2019,"November 12, 2019"
Snow Dogs,2002,"November 12, 2019"
Snow White and the Seven Dwarfs,1937,"November 12, 2019"
Snowball Express,1972,"November 12, 2019"
Snowglobe,2007,"November 12, 2019"
So Weird,1999–2001,"November 12, 2019"
Society Dog Show,1939,"November 12, 2019"
Sonny with a Chance,2009–2011,"April 3, 2020"
Soy Luna,2016–,"January 1, 2020"
Spider-Man,1981–1982,"November 12, 2019"
Spider-Man and His Amazing Friends,1981–1986,"November 12, 2019"
Spider-Man Unlimited,1999–2005,"November 12, 2019"
Spider-Woman,1979–1980,"November 12, 2019"
Splash,1984,"February 14, 2020"
Star Wars: Forces of Destiny,2017–,"November 12, 2019"
Star Wars Rebels,2014–2018,"November 12, 2019"
Star Wars Resistance,2018–,"November 12, 2019"
Star Wars: Episode IV - A New Hope,1977,"November 12, 2019"
Star Wars: Episode II - Attack of the Clones,2002,"November 12, 2019"
Star Wars Blips,2017,"November 12, 2019"
Star Wars: Episode VI - Return of the Jedi,1983,"November 12, 2019"
Star Wars: Episode III - Revenge of the Sith,2005,"November 12, 2019"
Star Wars: The Clone Wars,2008–2020,"November 12, 2019"
Star Wars: The Clone Wars,2008,"November 12, 2019"
Star Wars: Episode V - The Empire Strikes Back,1980,"November 12, 2019"
Star Wars: Episode VII - The Force Awakens,2015,"November 12, 2019"
Star Wars: Episode VIII - The Last Jedi,2017,"December 26, 2019"
Star Wars: Episode I - The Phantom Menace,1999,"November 12, 2019"
Stargirl,2020,"March 13, 2020"
StarStruck,2010,"November 12, 2019"
Steamboat Willie,1928,"November 12, 2019"
Stepsister from Planet Weird,2000,"November 12, 2019"
Stitch! The Movie,2003,"November 12, 2019"
Stonehenge: Decoded,2008,"November 12, 2019"
Stuck in the Suburbs,2004,"November 12, 2019"
Super Buddies,2013,"November 12, 2019"
Super Rhino,2009,"January 1, 2020"
Supercar Superbuild,2014–,"December 1, 2019"
Swiss Family Robinson,1940,"November 12, 2019"
Swiss Family Robinson,1960,"November 12, 2019"
TaleSpin,1990–1991,"November 12, 2019"
Tall Tale,1995,"November 12, 2019"
Tangled,2010,"November 12, 2019"
Tangled: Before Ever After,2017,"November 12, 2019"
Tangled: The Series,2017–2020,"November 12, 2019"
Tarzan & Jane,2002,"November 12, 2019"
Teacher's Pet,2004,"November 12, 2019"
Teacher's Pet,2000–2005,"November 12, 2019"
Teen Beach 2,2015,"November 12, 2019"
Teen Beach Movie,2013,"November 12, 2019"
Teen Spirit,2011,"November 12, 2019"
That Darn Cat,1997,"November 12, 2019"
That Darn Cat!,1965,"November 12, 2019"
That's So Raven,2003–2007,"October 1, 2019"
The Absent Minded Professor,1961,"November 12, 2019"
The Adventures of Bullwhip Griffin,1967,"November 12, 2019"
The Adventures of Huck Finn,1993,"November 12, 2019"
The Adventures of Ichabod and Mr. Toad,1949,"November 12, 2019"
The Adventures of Spin and Marty,1955–,"November 12, 2019"
The African Lion,1955,"November 12, 2019"
The Apple Dumpling Gang,1975,"November 12, 2019"
The Apple Dumpling Gang Rides Again,1979,"November 12, 2019"
The Aristocats,1970,"November 12, 2019"
The Art of Skiing,1941,"November 12, 2019"
The Avengers: Earth's Mightiest Heroes,2010–2012,"November 12, 2019"
Avengers: United They Stand,1999–2000,"November 12, 2019"
The Band Concert,1935,"November 12, 2019"
The Bears and I,1974,"November 12, 2019"
The BFG,2016,"November 12, 2019"
The Big Bad Wolf,1934,"November 12, 2019"
The Biscuit Eater,1972,"November 12, 2019"
The Black Cauldron,1985,"November 12, 2019"
The Black Hole,1979,"November 12, 2019"
The Blue Umbrella,2013,"November 12, 2019"
The Book of Pooh,2001–2004,"November 12, 2019"
The Boy Who Talked to Badgers,1975,"April 3, 2020"
The Brave Little Toaster Goes to Mars,1998,"November 12, 2019"
The Castaway Cowboy,1974,"November 12, 2019"
The Cat from Outer Space,1978,"October 1, 2019"
The Cheetah Girls,2003,"November 12, 2019"
The Cheetah Girls 2,2006,"November 12, 2019"
The Cheetah Girls: One World,2008,"November 12, 2019"
The Christmas Star,1986,"November 12, 2019"
The Chronicles of Narnia: Prince Caspian,2008,"November 12, 2019"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,"November 12, 2019"
The Color of Friendship,2000,"November 12, 2019"
The Computer Wore Tennis Shoes,1969,"November 12, 2019"
The Country Bears,2002,"November 12, 2019"
The Emperor's New Groove,2000,"November 12, 2019"
The Even Stevens Movie,2003,"November 12, 2019"
The Finest Hours,2016,"March 6, 2020"
The Flood,2018,"November 12, 2019"
The Fox and the Hound,1981,"November 12, 2019"
The Fox and the Hound 2,2006,"November 12, 2019"
The Game Plan,2007,"November 12, 2019"
The Ghosts of Buxley Hall,1980,"November 12, 2019"
The Goddess of Spring,1934,"November 12, 2019"
The Golden Touch,1935,"November 12, 2019"
The Good Dinosaur,2015,"November 12, 2019"
The Great Mouse Detective,1986,"October 1, 2019"
The Great Muppet Caper,1981,"November 12, 2019"
The Greatest Game Ever Played,2005,"November 12, 2019"
The Haunted Mansion,2003,"November 12, 2019"
The Hockey Champ,1939,"November 12, 2019"
The Hunchback of Notre Dame,1996,"November 12, 2019"
The Hunchback of Notre Dame 2: The Secret of the Bell,2002,"November 12, 2019"
The Imagineering Story,2019–,"November 12, 2019"
The Incredible Dr. Pol,2011–,"November 12, 2019"
The Incredible Journey,1963,"November 12, 2019"
The Incredibles,2004,"November 12, 2019"
The Journey of Natty Gann,1985,"November 12, 2019"
The Jungle Book,1967,"November 12, 2019"
The Jungle Book 2,2003,"November 12, 2019"
The Jungle Book: Mowgli's Story,1998,"November 12, 2019"
The Last Song,2010,"April 1, 2020"
The Legend of Mor'du,2012,"November 12, 2019"
The Lion King,2019,"January 28, 2020"
The Lion King 3: Hakuna Matata,2004,"November 12, 2019"
The Lion King 2: Simba's Pride,1998,"November 12, 2019"
The Lion King,1994,"November 12, 2019"
The Little Mermaid,1989,"November 12, 2019"
The Little Mermaid 2: Return to the Sea,2000,"November 12, 2019"
The Little Mermaid: Ariel's Beginning,2008,"November 12, 2019"
The Living Desert,1953,"November 12, 2019"
Lizzie McGuire,2003,"November 12, 2019"
The Lodge,2016–,"January 1, 2020"
The Lost Tomb of Alexander the Great,2019,"November 12, 2019"
The Love Bug,1968,"November 12, 2019"
The Mandalorian,2019–,"November 12, 2019"
The Many Adventures of Winnie the Pooh,1977,"November 12, 2019"
The Million Dollar Duck,1971,"November 12, 2019"
The Mistle-Tones,2012,"November 12, 2019"
The Muppet Christmas Carol,1992,"November 12, 2019"
The Muppet Movie,1979,"November 12, 2019"
The Muppets,2011,"November 12, 2019"
The Muppets.,2015–2016,"November 12, 2019"
The New Adventures of Winnie the Pooh,1988–1991,"November 12, 2019"
The New Neighbor,1953,"April 3, 2020"
The Odd Life of Timothy Green,2012,"April 1, 2020"
The Old Mill,1937,"November 12, 2019"
The Olympic Champ,1942,"November 12, 2019"
The Olympic Elk,1952,"April 24, 2020"
The Other Me,2000,"November 12, 2019"
The Parent Trap,1961,"November 12, 2019"
The Parent Trap,1998,"November 12, 2019"
The Pied Piper,1933,"November 12, 2019"
The Poof Point,2001,"November 12, 2019"
The Prince and the Pauper,1962,"November 12, 2019"
The Prince and the Pauper,1990,"November 12, 2019"
The Princess and the Frog,2009,"November 12, 2019"
The Princess Bride,1987,"May 1, 2020"
The Princess Diaries,2001,"November 12, 2019"
The Princess Diaries 2: Royal Engagement,2004,"November 12, 2019"
The Proud Family,2001–2005,"January 1, 2020"
The Proud Family Movie,2005,"November 12, 2019"
The Reluctant Dragon,1941,"November 12, 2019"
The Replacements,2006–2009,"November 12, 2019"
The Rescuers,1977,"November 12, 2019"
The Rescuers Down Under,1990,"November 12, 2019"
The Rocketeer,1991,"November 12, 2019"
The Rookie,2002,"November 12, 2019"
The Sandlot: Heading Home,2007,"March 6, 2020"
The Santa Clause,1994,"November 12, 2019"
The Santa Clause 2,2002,"November 12, 2019"
The Santa Clause 3: The Escape Clause,2006,"November 12, 2019"
The Scream Team,2002,"November 12, 2019"
The Secret of the Magic Gourd,2007,"November 12, 2019"
The Shaggy D.A.,1976,"November 12, 2019"
The Shaggy Dog,1959,"November 12, 2019"
The Sign of Zorro,1958,"November 12, 2019"
The Simpsons,1989–,"November 12, 2019"
The Small One,1978,"April 3, 2020"
The Sound of Music,1965,"November 12, 2019"
The Story of Robin Hood and His Merrie Men,1952,"November 12, 2019"
The Straight Story,1999,"April 3, 2020"
The Strongest Man in the World,1975,"November 12, 2019"
The Suite Life Movie,2011,"November 12, 2019"
The Suite Life of Zack & Cody,2005–2008,"November 12, 2019"
The Suite Life on Deck,2008–2011,"November 12, 2019"
The Super Hero Squad Show,2009–2011,"January 1, 2020"
The Swap,2016,"November 12, 2019"
The Sword in the Stone,1963,"October 1, 2019"
The Thirteenth Year,1999,"November 12, 2019"
The Three Caballeros,1944,"November 12, 2019"
The Three Musketeers,1993,"November 12, 2019"
The Tigger Movie,2000,"November 12, 2019"
The Tortoise and the Hare,1935,"November 12, 2019"
The Ugly Dachshund,1966,"November 12, 2019"
Ugly Duckling,1939,"November 12, 2019"
The Ultimate Christmas Present,2000,"November 12, 2019"
The Vanishing Prairie,1954,"November 12, 2019"
The Wild,2006,"November 12, 2019"
The Wise Little Hen,1934,"November 12, 2019"
The Wizards Return: Alex vs. Alex,2013,"November 12, 2019"
The Little Mermaid Live!,2019,"November 27, 2019"
The World According to Jeff Goldblum,2019–,"November 12, 2019"
The Young Black Stallion,2003,"November 12, 2019"
Those Calloways,1965,"October 1, 2019"
Three Days,2001,"November 12, 2019"
Three Little Pigs,1933,"November 12, 2019"
Three Men and a Baby,1987,"November 12, 2019"
Three Men and a Little Lady,1990,"November 12, 2019"
Thumbelina,1994,"November 12, 2019"
Tiger Cruise,2004,"November 12, 2019"
The Nightmare Before Christmas,1993,"November 12, 2019"
Timmy Failure: Mistakes Were Made,2020,"February 7, 2020"
Timon & Pumbaa,1995–1999,"November 12, 2019"
Tin Toy,1988,"November 12, 2019"
Tinker Bell,2008,"November 12, 2019"
Tinker Bell and the Great Fairy Rescue,2010,"November 12, 2019"
Tinker Bell and the Lost Treasure,2009,"November 12, 2019"
Titanic: 20 Years Later with James Cameron,2017,"November 12, 2019"
Toby Tortoise Returns,1936,"November 12, 2019"
Togo,2019,"December 20, 2019"
Tom and Huck,1995,"November 12, 2019"
Toy Story,1995,"November 12, 2019"
Toy Story 2,1999,"November 12, 2019"
Toy Story 3,2010,"November 12, 2019"
Toy Story 4,2019,"February 5, 2020"
Toy Story Toons: Hawaiian Vacation,2011,"November 12, 2019"
Toy Story Toons: Small Fry,2011,"November 12, 2019"
Trail of the Panda,2009,"November 12, 2019"
Trailer Horn,1950,"November 12, 2019"
Treasure Island,1950,"November 12, 2019"
Treasure of Matecumbe,1976,"November 12, 2019"
Treasure Planet,2002,"November 12, 2019"
TRON,1982,"November 12, 2019"
TRON: Uprising,2012–2013,"November 12, 2019"
TRON: Legacy,2010,"November 12, 2019"
Tru Confessions,2002,"November 12, 2019"
Tuck Everlasting,2002,"November 12, 2019"
Tugboat Mickey,1940,"November 12, 2019"
Turner & Hooch,1989,"November 12, 2019"
Tutankhamen's Treasures,2018,"April 10, 2020"
'Twas the Night,2001,"November 12, 2019"
Twitches,2005,"November 12, 2019"
Twitches Too,2007,"November 12, 2019"
Unidentified Flying Oddball,1979,"November 12, 2019"
Unlikely Animal Friends,2012–,"February 21, 2020"
Up,2009,"November 12, 2019"
"Up, Up, and Away!",2000,"November 12, 2019"
Valiant,2005,"November 12, 2019"
Viking Warrior Women,2019,"February 28, 2020"
Violetta,2012–,"November 12, 2019"
Waking Sleeping Beauty,2009,"November 12, 2019"
WALL·E,2008,"November 12, 2019"
Water Birds,1952,"May 1, 2020"
Wendy Wu: Homecoming Warrior,2006,"November 12, 2019"
Whispers: An Elephant's Tale,2000,"November 12, 2019"
White Fang,1991,"November 12, 2019"
Who Framed Roger Rabbit,1988,"November 12, 2019"
Wicked Tuna,2012–,"February 1, 2020"
Willow,1988,"November 12, 2019"
Wind,2019,"December 13, 2019"
Winged Seduction: Birds of Paradise,2012,"November 12, 2019"
Winnie the Pooh,2011,"November 12, 2019"
Winnie the Pooh: A Very Merry Pooh Year,2002,"November 12, 2019"
Winnie the Pooh: Springtime with Roo,2003,"November 12, 2019"
Winter Storage,1949,"November 12, 2019"
Wizards of Waverly Place,2007–2012,"November 12, 2019"
Wizards of Waverly Place: The Movie,2009,"November 12, 2019"
Wolverine and the X-Men,2008–2009,"November 12, 2019"
BarkFest,2017–,"November 12, 2019"
Wreck-It Ralph,2012,"November 12, 2019"
X-Men: Evolution,2000–2003,"November 12, 2019"
Year Million,2017,"January 1, 2020"
Yellowstone Cubs,1963,"November 12, 2019"
You Lucky Dog,1998,"November 12, 2019"
You Wish!,2003,"November 12, 2019"
Your Friend the Rat,2007,"November 12, 2019"
Z-O-M-B-I-E-S,2018,"November 12, 2019"
Zapped,2014,"November 12, 2019"
Zenon: Girl of the 21st Century,1999,"November 12, 2019"
Zenon: The Zequel,2001,"November 12, 2019"
Zenon: Z3,2004,"November 12, 2019"
Zootopia,2016,"November 12, 2019"
