"Titulo","Ano","Duracao","Plataforma","Classificacao Indicativa","IMDb","Rotten Tomatoes","Enredo"
"Love Actually",2003,"135.0","Outra","18+","7.6/10","82/100","Against the backdrop of aged has-been rock star Billy Mack's (Bill Nighy's) Christmas themed comeback cover of ""Love Is All Around"", which he knows is crap and makes no bones about it, much to his manager Joe's (Gregor Fisher's) chagrin as he promotes the record, several interrelated stories about romantic love and the obstacles to happiness through love for Londoners are presented in the five weeks preceding Christmas. Daniel's (Liam Neeson's) wife has just died, leaving him to take care of his adolescent stepson Sam (Thomas Brodie-Sangster) by himself. Daniel is uncertain how to deal with Sam and his problems without his wife present, especially in light of a potential budding romance within their household. Juliet (Keira Knightley) and Peter (Chiwetel Ejiofor) have just gotten married. They believe that Peter's best friend and best man Mark (Andrew Lincoln) hates Juliet, but won't say so to his or her face. Others looking at the situation from the outside believe Mark is jealous of Juliet, as he is in love with Peter. Jamie (Colin Firth), a writer, is taking a writing retreat by himself in rural France following catching his latest girlfriend (Sienna Guillory) in an indiscretion. Jamie ends up spending much time in France with Aurelia (Lúcia Moniz), the Portuguese woman hired as the housekeeper. The question becomes not only if they can communicate their day-to-day needs with each other as she speaks no English, he speaks no Portuguese, and neither speaks French very well, but communicate what seems to be their increasing mutual attraction to each other. Sarah (Laura Linney) has been in love with her co-worker Karl (Rodrigo Santoro) for the two years they have worked together, this attraction about which everyone in their workplace knows. Sarah has to decide if she can be forward enough to express this love directly to Karl, especially in light of what has been her personal priority of dealing with a family issue. Harry (Alan Rickman) and Karen (Dame Emma Thompson) have been in a stable long term marriage. His new assistant Mia (Heike Makatsch) drops hints to him that she would like them to be romantically involved. Harry has to decide whether to fall to the temptation, especially considering being married to a perceptive wife. Single and relatively young David (Hugh Grant) is the newly elected Prime Minister. At 10 Downing Street, he is attracted to one of the new household servants, Natalie (Martine McCutcheon), but isn't sure what to do about it seeing as to their respective positions, the probable public scrutiny, and an incident involving the visiting U.S. President (Billy Bob Thornton). Socially unaware Colin Frissell (Kris Marshall) believes that the lack of romantic love in his life is all the fault of standoffish British women. As such, he decides to take decisive albeit somewhat unusual geographic action. And John (Martin Freeman) and Judy (Joanna Page) are movie body doubles. They can communicate with each other straightforwardly while they are simulating sex filming a movie, but they may not be able to translate the feelings behind that simulation in real-life to each other."
"Dear Ex",2018,"100.0","Netflix","18+","7.4/10","82/100","A teen navigates a bitter feud between his willful mom and a free-spirited man, who's the lover and insurance beneficiary of his recently deceased dad."
"Braven",2018,"94.0","Netflix","18+","5.9/10","82/100","A logger defends himself and his family from a group of murderous drug traffickers who have hidden a stash of heroin in his hunting cabin."
"Period. End of Sentence.",2018,"26.0","Netflix",,"7.4/10","82/100","In rural India, where the stigma of menstruation persists, women make low-cost sanitary pads on a new machine and stride toward financial independence."
"Captain Fantastic",2016,"118.0","Netflix","18+","7.9/10","82/100","A father raising his children off the grid begins to question his anti-establishment, utopian views when a tragic loss pulls them back into society."
"Veronica",2017,"94.0","Netflix","18+","6.2/10","81/100","In 1991 Madrid, after holding a séance at school, a teen girl minding her younger siblings at home suspects an evil force has entered their apartment."
"The Siege of Jadotville",2016,"108.0","Netflix","18+","7.2/10","81/100","Besieged by overwhelming enemy forces, Irish soldiers on a U.N. peacekeeping mission in Africa valiantly defend their outpost in this true story."
"Into the Inferno",2016,"104.0","Netflix",,"7.2/10","81/100","With stunning views of eruptions and lava flows, Werner Herzog captures the raw power of volcanoes and their ties to indigenous spiritual practices."
"Ricky Gervais: Humanity",2018,"79.0","Netflix","18+","8.0/10","81/100","In his first special in seven years, Ricky Gervais slings his trademark snark at celebrity, mortality and a society that takes everything personally."
"A Whisker Away",2020,"104.0","Netflix","7+","6.7/10","81/100","A peculiar girl transforms into a cat to catch her crush's attention. But before she realizes it, the line between human and animal starts to blur."
"Lady Bird",2017,"94.0","Netflix","18+","7.4/10","81/100","An intrepid high schooler in Sacramento undergoes the trials of love, family and self-discovery as she dreams of escaping to college on the East Coast."
