"Titulo","Ano","Duracao","Plataforma","Classificacao Indicativa","IMDb","Rotten Tomatoes","Enredo"
"The Boy Who Harnessed the Wind",2019,"113.0","Netflix","7+","7.6/10","89/100","Inspired by a science book, 13-year-old William Kamkwamba builds a wind turbine to save his Malawian village from famine. Based on a true story."
"The Devil All the Time",2020,"138.0","Outra","18+","7.1/10","89/100","Set in rural southern Ohio and West Virginia, The Devil All the Time follows a cast of compelling and bizarre characters from the end of World War II to the 1960s. There's Willard Russell, tormented veteran of the carnage in the South Pacific, who can't save his beautiful wife, Charlotte, from an agonizing death by cancer no matter how much sacrificial blood he pours on his ""prayer log."" There's Carl and Sandy Henderson, a husband-and-wife team of serial killers, who troll America's highways searching for suitable models to photograph and exterminate. There's the spider-handling preacher Roy and his crippled virtuoso-guitar-playing sidekick, Theodore, running from the law. And caught in the middle of all this is Arvin Eugene Russell, Willard and Charlotte's orphaned son, who grows up to be a good but also violent man in his own right."
"The Fundamentals of Caring",2016,"97.0","Netflix","18+","7.3/10","89/100","In this inspirational buddy comedy, a young shut-in and his caregiver take a road trip in search of landmarks, but end up finding hope and friendship."
"Pieces of a Woman",2020,"126.0","Netflix","18+","7.1/10","88/100","A heartbreaking home birth leaves a woman grappling with the profound emotional fallout, isolated from her partner and family by a chasm of grief."
"Gerald's Game",2017,"103.0","Netflix","18+","6.5/10","88/100","When her husband's sex game goes wrong, Jessie – handcuffed to a bed in a remote lake house – faces warped visions, dark secrets and a dire choice."
"On Body and Soul",2017,"116.0","Netflix",,"7.6/10","88/100","Two shy and socially awkward co-workers in Budapest form a special bond through a mysterious mystic connection that manifests in a dream."
"Shutter Island",2010,"138.0","Netflix","18+","8.2/10","88/100","A U.S. marshal's troubling visions compromise his investigation into the disappearance of a patient from a hospital for the criminally insane."
"Always Be My Maybe",2019,"101.0","Netflix","13+","6.8/10","88/100","After being unexpectedly dumped by their respective lovers, a man and a woman have a chance meeting at a resort and embark on a unique relationship."
"The Intouchables",2011,"112.0","Netflix","7+","8.5/10","88/100","In need of a caregiver, a wealthy aristocrat with quadriplegia hires the last person anyone expects: an ex-con with no experience. Based on a true story."
"Bill Burr: Paper Tiger",2019,"67.0","Netflix","18+","8.2/10","87/100","Bill Burr unloads on outrage culture, male feminism, cultural appropriation, robot sex and more in a blistering stand-up special shot in London."
"Special 26",2013,"144.0","Netflix",,"8.0/10","87/100","In this fact-based crime drama, a gang of con artists posing as government officials executes a heist in the form of a raid on a prominent jeweler."
"Kiss the Ground",2020,"84.0","Netflix","18+","8.3/10","87/100","Science experts and celebrity activists unpack the ways in which the earth's soil may be the key to combating climate change and preserving the planet."
"Crip Camp: A Disability Revolution",2020,"106.0","Netflix","18+","7.7/10","87/100","A groundbreaking summer camp galvanizes a group of teens with disabilities to help build a movement, forging a new path toward greater equality."
"Extraction",2020,"116.0","Netflix","18+","6.7/10","87/100","When a retired CIA agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot."
"No Direction Home: Bob Dylan",2005,"359.0","Netflix","all","8.5/10","87/100","Featuring rare concert footage and interviews with legendary musicians, this documentary traces Bob Dylan's life story and extraordinary career."
"Kabhi Khushi Kabhie Gham",2001,"210.0","Netflix","all","7.4/10","87/100","Years after his father disowns his adopted brother for marrying a woman of lower social standing, a young man goes on a mission to reunite his family."
"His House",2020,"93.0","Netflix","16+","6.5/10","87/100","As a young couple from war-torn South Sudan seeks asylum and a fresh start in England, they’re tormented by a sinister force living in their new home."
"Super Deluxe",2019,"176.0","Netflix","18+","8.4/10","87/100","Sex, stigma and spirituality merge in these eccentric stories of an angsty teenager, an unfaithful wife and a transgender woman returning to her past."
"The Guernsey Literary & Potato Peel Pie Society",2018,"124.0","Outra","16+","7.4/10","87/100",
"A Secret Love",2020,"81.0","Netflix","18+","7.9/10","87/100","Amid shifting times, two women kept their decades-long love a secret. But coming out later in life comes with its own set of challenges."
"The Night Comes for Us",2018,"121.0","Netflix","18+","7.0/10","87/100","After sparing a girl's life during a massacre, an elite Triad assassin is targeted by an onslaught of murderous gangsters."
