Titulo,Ano,Duracao,Temporadas,Plataforma,Classificacao Indicativa,IMDb,Rotten Tomatoes,Enredo
Fullmetal Alchemist,2003,24 min,1 Season,Netflix,16+,8.5/10,73/100,"Brothers Edward and Alphonse use alchemy to resurrect their mother, but they unleash a chemical reaction that tears apart their bodies."
Marianne,2019,50 min,1 Season,Netflix,18+,7.5/10,73/100,"Lured back to her hometown, a famous horror writer discovers that the evil spirit who plagues her dreams is now wreaking havoc in the real world."
Five Came Back,2017,60 min,1 Season,Netflix,16+,8.3/10,73/100,Five acclaimed contemporary directors tell the story of five legendary Hollywood filmmakers who enlisted in the armed forces to document World War II.
Miraculous: Tales of Ladybug & Cat Noir,2015,20 min,5 Seasons,Netflix,7+,7.7/10,73/100,"When Paris is in peril, Marinette becomes Ladybug. Little does she know, her school crush Adrien is actually Cat Noir, another city-saving superhero."
Abstract: The Art of Design,2017,45 min,2 Seasons,Netflix,16+,8.4/10,73/100,Step inside the minds of the most innovative designers in a variety of disciplines and learn how design impacts every aspect of life.
Teenage Bounty Hunters,2020,50 min,1 Season,Netflix,18+,7.7/10,72/100,Twin sisters Sterling and Blair balance teen life at an elite Southern high school with an unlikely new career as butt-kicking bounty hunters.
Documentary Now!,2015,23 min,3 Seasons,Netflix,18+,8.1/10,72/100,"Elevating the art of parody, this sharply comic series spoofs high-profile documentaries such as ""Grey Gardens"" and ""The Thin Blue Line."""
Special,2019,15 min,2 Seasons,Netflix,18+,7.6/10,72/100,A young gay man with cerebral palsy branches out from his insular existence in hopes of finally going after the life he wants.
JoJo's Bizarre Adventure,2012,30 min,3 Seasons,Netflix,18+,8.4/10,72/100,Multiple generations of the Joestar family – all with the same nickname – confront supernatural villains through a series of time periods.
Manhunt,2017,60 min,109 min,Netflix,16+,8.1/10,72/100,A Chinese pharmaceutical lawyer framed for a vile crime teams up with a sharp-witted Japanese detective to stop a dangerous corporate plot.
Your Lie in April,2014,23 min,1 Seasons,Outra,7+,8.6/10,72/100,"The story follows Arima Kousei, a skilled pianist. However, he hasn't played since he played for his mother who died a few years ago. One day Arima meets a brilliant violinist at the park. After their meeting she tries to guide Arima back into the world of music."
Code Geass: Lelouch of the Rebellion,2006,24 min,2 Seasons,Netflix,18+,8.7/10,72/100,A high-schooler who's granted powers to make anyone instantly obedient dons a mask to lead Japan's rebellion against a long-invading Britannia.
Middleditch & Schwartz,2020,51 min,1 Season,Netflix,18+,8.6/10,72/100,Comedy duo Thomas Middleditch and Ben Schwartz turn small ideas into epically funny stories in this series of completely improvised comedy specials.
Zoo,2015,42 min,94 min,Netflix,16+,6.7/10,72/100,"A drug dealer starts having doubts about his trade as his brother, his client, and two rappers from the slums each battle their own secret addictions."
Jupiters Legacy,2021,,,Outra,18+,6.7/10,72/100,
Ratched,2020,,1 Season,Netflix,18+,7.3/10,72/100,"In 1947, Mildred Ratched begins working as a nurse at a leading psychiatric hospital. But beneath her stylish exterior lurks a growing darkness."
Babylon Berlin,2017,45 min,3 Seasons,Netflix,18+,8.4/10,72/100,A Soviet freight train's hijacking leads a haunted cop and a poor typist to uncover a political conspiracy amid the vice and glamour of 1929 Berlin.
Better Than Us,2018,52 min,1 Season,Netflix,15+,7.4/10,72/100,"A family on the brink of splitting up become the owners of a cutting-edge robot being sought by a corporation, homicide investigators and terrorists."
Everything Sucks!,2018,30 min,1 Season,Netflix,16+,7.5/10,72/100,"It's 1996 in a town called Boring, where high school misfits in the AV and drama clubs brave the ups and downs of teenage life in the VHS era."
Evil Genius,2018,,1 Season,Netflix,18+,7.5/10,72/100,This baffling true crime story starts with the grisly death of a pizza man who robs a bank with a bomb around his neck – and gets weirder from there.
Doctor Foster,2015,,2 Seasons,Netflix,16+,7.7/10,72/100,"When she suspects her husband is cheating on her, Dr. Gemma Foster starts an investigation that leads her down a dark path of obsession."
Marcella,2016,45 min,3 Seasons,Netflix,18+,7.4/10,72/100,"Her marriage just ended and she's returning to work as a London detective after 12 years away. Is the serial killer she once investigated back, too?"
Survivor,2000,60 min,2 Seasons,Netflix,7+,7.2/10,72/100,"In this long-running reality competition series, players battle the elements and each other as they vie for $1 million and the title of Sole Survivor."
Derek,2013,23 min,3 Seasons,Netflix,7+,8.0/10,72/100,Ricky Gervais created and stars in this heartwarming comedy-drama series as a loyal English nursing home caretaker who sees only the good in everyone.
Flowers,2016,30 min,2 Seasons,Netflix,15+,8.2/10,72/100,"Between a troubled marriage, a senile granny and twin siblings constantly in rivalry, a crumbling household struggles to barely keep it together."
3%,2016,49 min,4 Seasons,Netflix,18+,7.4/10,72/100,"In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor."
Tuca & Bertie,2019,26 min,1 Season,Netflix,18+,7.4/10,72/100,Free-spirited toucan Tuca and self-doubting song thrush Bertie are best friends – and birds – who guide each other through life's ups and downs.
Kuroko's Basketball,2012,24 min,3 Seasons,Netflix,,8.3/10,72/100,"Five middle school basketball stars went to separate high schools, and now Tetsuya Kuroko and Seirin High are making their play for glory."
Parasyte -the maxim-,2014,,,Outra,18+,8.3/10,72/100,
Last Chance U,2016,55 min,5 Seasons,Netflix,16+,8.4/10,71/100,"In a docuseries set at one of NCAA football's most fertile recruiting grounds, guys with red flags seek to prove their worth on the field and in class."
Trailer Park Boys,2001,30 min,12 Seasons,Netflix,18+,8.5/10,71/100,Follow the booze-fueled misadventures of three longtime pals and petty serial criminals who run scams from their Nova Scotia trailer park.
Black Lightning,2018,43 min,4 Seasons,Netflix,16+,6.1/10,71/100,School principal and retired superhero Jefferson Pierce leaps back into action as the legendary Black Lightning after a gang threatens his family.
Chicago Med,2015,43 min,5 Seasons,Netflix,16+,7.6/10,71/100,"The doctors and nurses of Gaffney Chicago Medical Center juggle the busy ER's dramas and dangers in this spinoff of ""Chicago Fire"" and ""Chicago P.D."""
How to Sell Drugs Online (Fast),2019,30 min,3 Seasons,Netflix,18+,7.9/10,71/100,"To win back his ex-girlfriend, a nerdy teen starts selling ecstasy online out of his bedroom – and becomes one of Europe's biggest dealers."
Secret City,2016,49 min,2 Seasons,Netflix,18+,7.4/10,71/100,A student's protest leads to a government scandal that has personal and professional repercussions for one of Australia's toughest journalists.
Dynasty,2017,42 min,3 Seasons,Netflix,16+,7.3/10,71/100,The Carringtons and the Colbys feud for control over their fortune – and their children – in this updated reboot of the classic prime-time soap.
Dracula,2020,270 min,1 Season,Netflix,18+,6.8/10,71/100,The Count Dracula legend transforms with new tales that flesh out the vampire's gory crimes – and bring his vulnerability into the light.
Delhi Crime,2019,50 min,1 Season,Netflix,15+,8.5/10,71/100,"As Delhi reels in the aftermath of a gang rape, DCP Vartika Chaturvedi leads a painstaking search for the culprits. Based on the 2012 Nirbhaya case."
Space Force,2020,30 min,1 Season,Netflix,18+,6.7/10,71/100,A four-star general begrudgingly teams up with an eccentric scientist to get the U.S. military's newest agency — Space Force — ready for lift-off.
